arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,arrival_quantity_qtl,mandi_name,district,mandi_type,modal_price,msp,avg_temperature_c,total_rainfall_mm,avg_humidity_percent,avg_distance_km,avg_transit_hours,avg_speed_kmph,transit_delay_rate
ARR0012424,2026-04-06,MANDI026,Wheat,Hybrid,44.841,T,128.0,448.41,Tadipatri Mandi,Hisar,Private,,,26.485317460317457,720.034,68.71428571428571,626.8655168026767,12.396301346801346,62.66584611941938,0.011976047904191617
ARR0008271,,MANDI014,Wheat,HD-2967,332.54,Qtl,33.0,332.54,Bathinda Grain Market,Patiala,PRIVATE,,,,,,666.8694664182436,13.377099522835719,107.3689648000066,0.04242424242424243
ARR0022724,,MANDI056,Wheat,HD-2967,415.88 qtl,,,,Bilaspur Mandi,Bareilly,Private,,,,,,647.0077318112894,13.43936009307737,82.7964797037649,0.05699481865284974
ARR0012573,,MANDI019,Maize,,-107.13,KG,112.0,-1.0713,Karimnagar Grain Market,Moga,PRIVATE,,,,,,637.5183788089874,13.427884366925063,49.666285427857424,0.05142857142857143
ARR0012098,,MANDI050,Maize,Premium,-331.59,Qtl,,-331.59,Durg Market,Muzaffarnagar,,,,,,,669.4991596622084,13.950960012210011,51.5428276227886,0.06451612903225806
ARR0013701,,MANDI049,Sugarcane,Local,119.93,Q,105.0,,Machilipatnam Mandi,Muzaffarnagar,Private,,,,,,637.9883090739725,13.246245519713263,53.807214746988215,0.047872340425531915
ARR0010753,,MANDI054,Cotton,HD-2967,187.68,qtl,45.0,187.68,Nangloi Jat Grain Market,Saharanpur,Direct,,,,,,676.5229346500879,13.507386765746638,54.03155734409026,0.054878048780487805
ARR0022123,,MANDI045,Sarso,Hybrid,393.67 qtl,,24.0,,Farrukhabad Mandi,Meerut,PRIVATE,,,,,,643.3295720411376,12.714092394533573,112.09798583911237,0.031746031746031744
ARR0003275,2026-08-04,MANDI029,Mustard,PBW-343,14.84,Quintals,129.0,14.84,Asansol Grain Market,SIRSA,Direct,,,27.72395061728395,1476.81,59.317460317460316,676.2953951068315,14.117156862745096,57.89360031823794,0.03977272727272727
ARR0002542,,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0,93.28,Dhule APMC,Jalandhar,Direct,,,,,,637.494413847637,13.50193536673929,51.13073301772141,0.05128205128205128
ARR0016719,,MANDI044,Maize,PBW-343,3.8369999999999997,tonnes,80.0,38.370000000000005,Dehri Mandi,Agra,APMC,,,,,,620.1631627770485,12.834301957397813,63.73260743162981,0.045454545454545456
ARR0019527,,MANDI042,Maize,HD-2967,17077.0,kg,26.0,170.77,Erode Mandi,Fatehabad,PRIVATE,,,,,,572.5970269617512,12.467932659932659,53.66784249663272,0.052941176470588235
ARR0009636,,MANDI056,Maize,HD-2967,37.3,quintal,,37.3,Bilaspur Mandi,Bareilly,Private,,,,,,647.0077318112894,13.43936009307737,82.7964797037649,0.05699481865284974
ARR0010366,,MANDI011,Sugarcane,Pusa-1121,44.83,Q,65.0,,Arrah Mandi,Patiala,,,,,,,663.2299095399038,13.723928012519561,54.905411501846736,0.027649769585253458
ARR0005837,,MANDI025,Wheat,,45.474000000000004,tonnes,,454.73999999999995,Dindigul APMC,karnal,APMC,,,,,,680.6062632807995,13.957806397306399,54.26934176888128,0.047337278106508875
ARR0002387,,MANDI050,Sugarcane,HD-2967,1518.0,KGS,,15.18,Durg Market,Muzaffarnagar,,,,,,,669.4991596622084,13.950960012210011,51.5428276227886,0.06451612903225806
ARR0024112,,MANDI006,Mustard,,34.63,quintal,102.0,34.63,Kochi Mandi,Amritsar,Direct,,,,,,681.3500588755784,14.387914171656687,50.95691710901751,0.06976744186046512
ARR0010546,,MANDI039,Wheat,,41.577,MT,139.0,,Anand Grain Market,,APMC,,,,,,617.2666889447446,12.466750151791135,57.89251685266857,0.02127659574468085
ARR0002154,,MANDI001,Basmati,HD-2967,39646.0,kg,61.0,396.46,Hyderabad Mandi,ludhiana,Private,,,,,,651.6159831013507,13.433315671162493,59.144741008201564,0.06857142857142857
